id,year,majortopic,subtopic 
780,1985,5,503
781,1984,2,202
782,1985,0,0
783,1985,1,107
784,1985,1,107
785,1985,1,107
786,1985,1,104
787,1985,5,503
788,1985,1,107
789,1985,5,503
790,1985,10,1007
791,1985,2,202
792,1985,13,1300
793,1985,1,104
794,1985,1,107
795,1985,2,206
796,1985,7,711
797,1985,7,705
798,1985,20,2001
799,1985,1,107
800,1985,21,2199
801,1985,12,1299
802,1985,5,503
803,1985,0,0
804,1985,3,341
805,1985,15,1502
806,1985,13,1304
807,1985,13,1304
808,1985,12,1205
809,1985,0,0
810,1985,0,0
811,1985,6,600
812,1985,6,602
813,1985,12,1208
814,1985,6,603
815,1985,13,1304
816,1985,20,2001
817,1985,20,2001
818,1985,0,0
819,1985,2,299
820,1985,0,0
821,1985,1,107
822,1985,21,2100
823,1985,6,602
824,1985,12,1204
825,1985,6,601
826,1985,12,1200
827,1985,20,2001
828,1985,1,107
829,1985,20,2001
830,1985,5,502
831,1985,13,1302
832,1985,15,1599
833,1985,0,0
834,1985,15,1501
835,1985,16,1608
836,1985,0,0
837,1985,12,1200
838,1985,6,606
839,1985,5,503
840,1985,14,1406
841,1985,1,107
842,1985,20,2009
843,1985,20,2004
844,1985,19,1902
845,1985,0,0
846,1985,12,1204
847,1985,1,107
848,1985,5,505
849,1985,20,2004
850,1985,20,2004
851,1985,10,1007
852,1985,0,0
853,1985,20,2004
854,1985,0,0
855,1985,20,2001
856,1985,3,321
857,1985,19,1902
858,1985,13,1300
859,1985,20,2004
860,1985,5,505
861,1985,0,0
862,1985,0,0
863,1985,0,0
864,1985,15,1500
865,1985,15,1500
866,1985,15,1500
867,1985,15,1523
868,1985,0,0
869,1985,0,0
870,1985,15,1523
871,1985,4,402
872,1985,14,1401
873,1985,0,0
874,1985,0,0
875,1985,0,0
876,1985,20,2004
877,1985,16,1619
878,1985,20,2001
879,1985,20,2004
880,1985,20,2004
881,1985,6,606
882,1985,6,601
883,1985,6,602
884,1985,0,0
885,1985,6,602
886,1985,6,601
887,1985,13,1300
888,1985,10,1007
889,1985,12,1208
890,1985,12,1200
891,1985,7,709
892,1985,0,0
893,1985,0,0
894,1985,3,302
895,1985,2,206
896,1985,12,1204
897,1985,15,1504
898,1985,7,701
899,1985,13,1399
900,1985,10,1001
901,1985,12,1200
902,1985,5,503
903,1985,13,1304
904,1985,4,499
905,1985,5,503
906,1985,3,302
907,1985,6,601
908,1985,2,208
909,1985,2,202
910,1985,21,2100
911,1985,7,700
912,1985,5,503
913,1985,13,1302
914,1985,5,505
915,1985,1,107
916,1985,17,1798
917,1985,6,600
918,1985,12,1204
919,1985,0,0
920,1985,0,0
921,1985,0,0
922,1985,0,0
923,1985,0,0
924,1985,0,0
925,1985,4,405
926,1985,0,0
927,1985,6,601
928,1985,6,601
929,1985,6,606
930,1985,20,2001
931,1985,20,2001
932,1985,0,0
933,1985,0,0
934,1985,0,0
935,1985,15,1501
936,1985,1,105
937,1985,20,2001
938,1985,2,208
939,1985,12,1204
940,1985,5,529
941,1985,12,1200
942,1985,1,107
943,1985,0,0
944,1985,13,1300
945,1985,10,1002
946,1985,20,2001
947,1985,2,208
948,1985,0,0
949,1985,5,503
950,1985,20,2001
951,1985,12,1204
952,1985,6,602
953,1985,6,699
954,1985,6,601
955,1985,17,1799
956,1985,16,1608
957,1985,19,1921
958,1985,19,1910
959,1985,6,602
960,1985,6,601
961,1985,6,601
962,1985,20,2004
963,1985,12,1204
964,1985,19,1901
965,1985,19,1910
966,1985,17,1707
967,1985,18,1803
968,1985,9,900
969,1985,7,705
970,1985,7,711
971,1985,15,1500
972,1985,12,1204
973,1985,0,0
974,1985,0,0
975,1985,15,1599
976,1985,0,0
977,1985,8,803
978,1985,9,900
979,1985,2,202
980,1986,20,2001
981,1986,0,0
982,1986,20,2001
983,1986,13,1303
984,1986,6,601
985,1986,13,1302
986,1986,0,0
987,1986,0,0
988,1986,12,1208
989,1986,20,2001
990,1986,13,1304
991,1986,13,1300
992,1986,13,1303
993,1986,2,200
994,1986,5,503
995,1986,5,503
996,1986,20,2004
997,1986,0,0
998,1986,15,1526
999,1986,1,107
1000,1986,0,0
1001,1986,0,0
1002,1986,5,503
1003,1986,5,503
1004,1986,5,503
1005,1986,1,107
1006,1986,0,0
1007,1986,0,0
1008,1986,1,107
1009,1986,3,342
1010,1986,5,505
1011,1986,16,1699
1012,1986,5,503
1013,1986,1,107
1014,1986,5,502
1015,1986,12,1208
1016,1986,7,705
1017,1986,7,799
1018,1986,1,107
1019,1986,20,2001
1020,1986,20,2001
1021,1986,1,107
1022,1986,5,503
1023,1986,5,503
1024,1986,0,0
1025,1986,15,1500
1026,1986,5,505
1027,1986,4,408
1028,1986,4,400
1029,1986,0,0
1030,1986,0,0
1031,1986,5,502
1032,1986,0,0
1033,1986,18,1804
1034,1986,15,1505
1035,1986,0,0
1036,1986,0,0
1037,1986,17,1798
1038,1986,17,1706
1039,1986,20,2001
1040,1986,20,2001
1041,1986,10,1007
1042,1986,20,2004
1043,1986,20,2001
1044,1986,15,1521
1045,1986,14,1499
1046,1986,7,704
1047,1986,3,302
1048,1986,12,1204
1049,1986,6,601
1050,1986,15,1520
1051,1986,5,503
1052,1986,6,699
1053,1986,0,0
1054,1986,15,1599
1055,1986,0,0
1056,1986,0,0
1057,1986,15,1525
1058,1986,5,503
1059,1986,15,1525
1060,1986,5,503
1061,1986,14,1401
1062,1986,3,300
1063,1986,4,498
1064,1986,10,1007
1065,1986,0,0
1066,1986,0,0
1067,1985,1,107
1068,1986,16,1615
1069,1986,13,1305
1070,1986,5,503
1071,1986,20,2001
1072,1986,10,1002
1073,1986,14,1406
1074,1986,5,503
1075,1986,0,0
1076,1986,0,0
1077,1986,14,1499
1078,1986,15,1500
1079,1986,3,342
1080,1986,20,2002
1081,1986,2,207
